1	2
1	3
1	3
1	4
1	4
1	4
1	5
1	6
1	6
1	6
1	7
1	7
1	7
1	9
1	9
1	10
1	11
1	11
1	11
1	11
1	12
1	12
1	13
1	 network 3 5 8 9 10 12
2	1
2	3
2	4
2	5
2	5
2	7
2	8
2	8
2	9
2	9
2	9
2	9
2	10
2	10
2	11
2	12
2	13
2	 network 3 4 7 6 13
3	1
3	1
3	2
3	4
3	4
3	5
3	5
3	6
3	6
3	6
3	7
3	7
3	8
3	8
3	9
3	10
3	10
3	11
3	12
3	12
3	13
3	 network 9 11 10 1 2 13
4	1
4	1
4	1
4	2
4	3
4	3
4	5
4	6
4	6
4	6
4	7
4	7
4	7
4	9
4	11
4	11
4	12
4	12
4	12
4	13
4	 network 2 5 7 8 9
5	1
5	2
5	2
5	3
5	3
5	4
5	7
5	7
5	8
5	8
5	8
5	9
5	9
5	9
5	9
5	10
5	10
5	12
5	12
5	 network 4 1 7 11 12
6	1
6	1
6	1
6	3
6	3
6	3
6	4
6	4
6	4
6	7
6	7
6	11
6	11
6	12
6	13
6	 network 2 9 8 10
7	1
7	1
7	1
7	2
7	3
7	3
7	4
7	4
7	4
7	5
7	5
7	6
7	6
7	8
7	9
7	9
7	11
7	12
7	12
7	13
7	 network 5 2 4 9 12
8	2
8	2
8	3
8	3
8	5
8	5
8	5
8	7
8	9
8	9
8	9
8	10
8	10
8	10
8	12
8	 network 1 6 4 11
9	1
9	1
9	2
9	2
9	2
9	2
9	3
9	4
9	5
9	5
9	5
9	5
9	7
9	7
9	8
9	8
9	8
9	10
9	10
9	10
9	11
9	12
9	12
9	13
9	 network 12 1 3 6 4 7
10	1
10	2
10	2
10	3
10	3
10	5
10	5
10	8
10	8
10	8
10	9
10	9
10	9
10	11
10	12
10	13
10	 network 1 3 6 11
11	1
11	1
11	1
11	1
11	2
11	3
11	4
11	4
11	6
11	6
11	7
11	9
11	10
11	12
11	13
11	 network 3 5 10 8
12	1
12	1
12	2
12	3
12	3
12	4
12	4
12	4
12	5
12	5
12	6
12	7
12	7
12	8
12	9
12	9
12	10
12	11
12	 network 1 7 5 9
13	1
13	2
13	3
13	4
13	6
13	7
13	9
13	10
13	11
13	 network 2 3
